commander_id,commander_name,classification,command,rank,number_of_soldiers,role
11001,Delila Capey,3,Northern,seren,72445,commander of pluga
11002,Raoul Mabone,5,Southern,seren,14369,commander of pluga
11003,Sydelle Mazzia,4,Northern,seren,96153,commander of pluga
11004,Waldon Dericot,2,Southern,rav seren,54037,commander of pluga
11005,Zerk Pace,5,Northern,aluf,73261,commander of pluga
11006,Laverna Saxby,5,Central,aluf,16153,commander of gdud
11007,Alameda Sheer,4,Central,seren,81668,commander of pluga
11008,Bobbette Grooby,1,Home Front,aluf mishne,58723,commander of chativa
11009,Pietro Goodswen,2,Northern,rav seren,98255,commander of pluga
11010,Gualterio Bagby,1,Home Front,rav seren,98874,commander of pluga
11011,Iain Kernoghan,2,Home Front,rav seren,47148,commander of pluga
11012,Laure Larwell,3,Central,sgan aluf,96484,commander of pluga
11013,Evangeline Ireland,2,Home Front,tat aluf,20832,commander of ugda
11014,Sibby Harsnipe,4,Central,aluf,87431,commander of pluga
11015,Monti Whaites,4,Northern,rav seren,11021,commander of pluga
11016,Lorelle Thomen,3,Home Front,rav seren,97911,commander of pluga
11017,Curt Keppin,4,Central,aluf,40776,commander of command
11018,Serene Osorio,1,Home Front,sgan aluf,49995,commander of pluga
11019,Julissa Clery,4,Southern,sgan aluf,55377,commander of pluga
11020,Karol Visick,3,Southern,sgan aluf,28982,commander of gdud
11021,Norrie Pentecost,1,Southern,rav seren,93431,commander of pluga
11022,Yalonda Wantling,5,Southern,seren,1092,commander of pluga
11023,Leann Stoneham,4,Southern,tat aluf,4128,commander of ugda
11024,Boniface O'Fairy,5,Central,sgan aluf,92588,commander of gdud
11025,Bamby Delgado,3,Southern,rav seren,59819,commander of pluga
11026,Steffie Bourget,2,Home Front,sgan aluf,59899,commander of gdud
11027,Fredericka Borrill,4,Southern,sgan aluf,96917,commander of gdud
11028,Baxie Buxsy,4,Northern,aluf,35921,commander of pluga
11029,Sam Kohtler,1,Central,seren,2718,commander of pluga
11030,Margaretta Gerriets,2,Southern,aluf mishne,90105,commander of chativa
11031,Eimile Saiger,3,Central,rav seren,71620,commander of pluga
11032,Garrick Skrine,2,Southern,sgan aluf,23320,commander of gdud
11033,Junie Niccolls,5,Home Front,tat aluf,81056,commander of ugda
11034,Maximo Lower,4,Northern,tat aluf,69832,commander of ugda
11035,Ivie Wrangle,3,Northern,aluf,21862,commander of gdud
11036,Dunstan Budibent,3,Home Front,tat aluf,89871,commander of ugda
11037,Mia Eyree,4,Southern,tat aluf,24344,commander of ugda
11038,Lianne Reddington,5,Southern,rav seren,53268,commander of pluga
11039,Victoria Grafom,5,Central,tat aluf,56575,commander of ugda
11040,Adelind Bullivent,1,Northern,aluf mishne,73425,commander of chativa
11041,Knox Chotty,1,Southern,tat aluf,73747,commander of ugda
11042,Steve Walmsley,3,Central,aluf mishne,72037,commander of chativa
11043,Ola Ketchen,1,Home Front,tat aluf,1266,commander of ugda
11044,Chelsey Bente,3,Northern,tat aluf,19071,commander of ugda
11045,Nessa Girardot,4,Home Front,sgan aluf,8281,commander of pluga
11046,Lauralee Sprague,4,Home Front,rav seren,26423,commander of pluga
11047,Linzy Darwin,2,Central,tat aluf,32066,commander of ugda
11048,Gus Howsin,2,Northern,rav seren,41657,commander of pluga
11049,Meyer Splaven,1,Home Front,sgan aluf,2291,commander of pluga
11050,Lorant Blaiklock,2,Southern,seren,7702,commander of pluga
11051,Carmita Erangey,1,Southern,aluf,63419,commander of pluga
11052,Madel Adamowicz,1,Home Front,tat aluf,49470,commander of ugda
11053,Leah de Keep,3,Home Front,rav seren,86517,commander of pluga
11054,Toby Hintze,2,Home Front,rav seren,63391,commander of pluga
11055,Prince McArthur,3,Central,seren,63277,commander of pluga
11056,Harlene Derycot,1,Central,aluf,82258,commander of gdud
11057,Rodney Hawkswood,1,Central,tat aluf,13999,commander of ugda
11058,Lucy MacKnocker,5,Home Front,tat aluf,6174,commander of ugda
11059,Taber Jeakins,4,Northern,seren,76401,commander of pluga
11060,Peri Skally,2,Home Front,tat aluf,26595,commander of ugda
11061,Jodie Doyland,4,Central,seren,21433,commander of pluga
11062,Kelsi Yeowell,3,Southern,aluf,80972,commander of command
11063,Dorie Thomesson,3,Southern,aluf,60919,commander of command
11064,Zacherie Penreth,2,Southern,sgan aluf,15766,commander of pluga
11065,Esma Haig,1,Central,rav seren,24502,commander of pluga
11066,Lyssa Oglethorpe,4,Northern,rav seren,40220,commander of pluga
11067,Fons Muck,4,Central,seren,58465,commander of pluga
11068,Tony Swinden,5,Northern,tat aluf,64285,commander of ugda
11069,Walther Gabb,1,Southern,rav seren,50316,commander of pluga
11070,Jesselyn Grandham,3,Southern,rav seren,36273,commander of pluga
11071,Tuckie Hammant,1,Home Front,aluf mishne,89328,commander of chativa
11072,Barnard Childe,5,Northern,sgan aluf,43109,commander of gdud
11073,Harlene Gaskal,2,Northern,sgan aluf,17956,commander of pluga
11074,Asher Kment,5,Northern,aluf mishne,63725,commander of chativa
11075,Hamel Tinline,1,Southern,tat aluf,29318,commander of ugda
11076,Kalina Dudderidge,4,Home Front,tat aluf,76363,commander of ugda
11077,Elwyn Weaben,3,Northern,seren,89192,commander of pluga
11078,Rozanna Gethen,3,Home Front,tat aluf,70016,commander of ugda
11079,Kerry Quick,4,Home Front,tat aluf,33583,commander of ugda
11080,Arlen Stenbridge,3,Central,seren,2584,commander of pluga
11081,Claudine Winspurr,5,Northern,rav seren,75763,commander of pluga
11082,Friedrick Guido,3,Home Front,sgan aluf,82075,commander of gdud
11083,Clare Manders,3,Central,seren,36865,commander of pluga
11084,Corrine Boote,3,Central,sgan aluf,34515,commander of gdud
11085,Nikolaos Cocozza,4,Home Front,seren,84450,commander of pluga
11086,Ellery Lamzed,5,Southern,rav seren,38486,commander of pluga
11087,Mychal Simkovich,5,Central,sgan aluf,74949,commander of pluga
11088,Nero Bellew,4,Southern,aluf,61969,commander of gdud
11089,Vin Breslau,4,Southern,seren,87708,commander of pluga
11090,Lind Loveless,3,Central,aluf mishne,7194,commander of chativa
11091,Matty Weal,1,Northern,seren,94928,commander of pluga
11092,Andrea Logie,5,Southern,aluf mishne,7110,commander of chativa
11093,Findley Luno,3,Central,seren,95550,commander of pluga
11094,Jaquenetta Swannell,3,Northern,seren,61100,commander of pluga
11095,Kizzee Davidek,5,Northern,seren,50843,commander of pluga
11096,Mitzi Lorkin,2,Home Front,rav seren,52892,commander of pluga
11097,Fitz Barnsdale,4,Southern,sgan aluf,31534,commander of pluga
11098,Saba Sauvain,1,Southern,sgan aluf,22172,commander of gdud
11099,Monti Pury,1,Southern,sgan aluf,11776,commander of gdud
11100,Calv Kears,2,Central,aluf mishne,32250,commander of chativa
11101,Vivianne Kirman,5,Southern,rav seren,19665,commander of pluga
11102,Brittni Thredder,4,Home Front,sgan aluf,84455,commander of gdud
11103,Krystalle Shepcutt,5,Southern,tat aluf,72398,commander of ugda
11104,Brit Jeffels,3,Central,rav seren,5451,commander of pluga
11105,Rainer Ingraham,5,Home Front,seren,75962,commander of pluga
11106,Klarika Redmayne,2,Central,sgan aluf,17750,commander of gdud
11107,Georgine Enevold,1,Northern,aluf,62765,commander of command
11108,Carrissa La Rosa,4,Northern,rav seren,15163,commander of pluga
11109,Yoko Abels,2,Central,aluf mishne,23200,commander of chativa
11110,Gwen Maty,5,Southern,aluf,95435,commander of command
11111,Annamarie Lightman,4,Home Front,aluf mishne,85250,commander of chativa
11112,Kerianne Lemary,1,Home Front,aluf,74092,commander of gdud
11113,Ian Meeny,1,Home Front,sgan aluf,88090,commander of gdud
11114,Cherye Morey,3,Northern,tat aluf,17772,commander of ugda
11115,Elisabeth Bonus,4,Northern,seren,14743,commander of pluga
11116,Darnall Messum,1,Home Front,aluf mishne,87845,commander of chativa
11117,Jacquenetta Belleny,4,Southern,sgan aluf,12501,commander of gdud
