commander_id,commander_name,classification,command,rank,number_of_soldiers,role
4001,Kimbra Sowerbutts,2,Home Front,aluf mishne,43107,commander of chativa
4002,Grenville Soan,2,Central,sgan aluf,96816,commander of pluga
4003,Dorolisa Norwell,2,Home Front,sgan aluf,39061,commander of gdud
4004,Clem Milberry,4,Central,aluf mishne,93873,commander of chativa
4005,Devinne Dillistone,2,Home Front,seren,98243,commander of pluga
4006,Ketty Schollick,5,Southern,aluf,58313,commander of pluga
4007,Jesse Monini,5,Home Front,rav seren,83632,commander of pluga
4008,Simona Pallaske,1,Northern,seren,95730,commander of pluga
4009,Lizbeth Attenburrow,2,Home Front,tat aluf,57087,commander of ugda
4010,Damita York,5,Southern,rav seren,80182,commander of pluga
4011,Emmanuel Kaesmans,5,Central,aluf,42400,commander of gdud
4012,Andras McTrustram,1,Northern,sgan aluf,35335,commander of pluga
4013,Adrien Bytheway,2,Northern,sgan aluf,5354,commander of gdud
4014,Talyah Zolini,2,Central,tat aluf,67623,commander of ugda
4015,Elana Senechault,5,Southern,tat aluf,28169,commander of ugda
4016,Carolee Strafen,3,Southern,sgan aluf,62698,commander of pluga
4017,Gisella Gameson,3,Home Front,rav seren,11397,commander of pluga
4018,Horten Liddiatt,2,Southern,seren,50260,commander of pluga
4019,Lana Tumbridge,2,Central,tat aluf,39342,commander of ugda
4020,Desmond Fintoph,2,Central,aluf mishne,98447,commander of chativa
4021,Jakob Wattam,3,Southern,tat aluf,97928,commander of ugda
4022,Tabby Lared,5,Central,tat aluf,9350,commander of ugda
4023,Marylou Giraudat,1,Central,rav seren,16795,commander of pluga
4024,Genevieve Rowlands,2,Central,seren,20524,commander of pluga
4025,Adelina Wheadon,5,Southern,seren,78316,commander of pluga
4026,Pyotr McKaile,4,Southern,aluf,39903,commander of gdud
4027,Darb Lanning,4,Southern,seren,38403,commander of pluga
4028,Brigham Klug,2,Northern,sgan aluf,63768,commander of pluga
4029,Bradford Candlin,2,Central,rav seren,62178,commander of pluga
4030,Scarface Behrend,1,Southern,rav seren,33336,commander of pluga
4031,Freddie Franseco,5,Southern,rav seren,95650,commander of pluga
4032,Artemis Scrinage,2,Southern,rav seren,35584,commander of pluga
4033,Tasha Southward,5,Southern,rav seren,21429,commander of pluga
4034,Linoel Broadey,4,Northern,rav seren,69620,commander of pluga
4035,Candide Jamary,3,Central,sgan aluf,41203,commander of pluga
4036,Felicity Hawford,4,Home Front,sgan aluf,32871,commander of pluga
4037,Marissa Wawer,2,Central,rav seren,86756,commander of pluga
4038,Joycelin Blumer,3,Home Front,aluf mishne,31358,commander of chativa
4039,Bobina Ughelli,3,Home Front,sgan aluf,22632,commander of gdud
4040,Basilius Swait,3,Southern,sgan aluf,95427,commander of gdud
4041,Kenny Barles,3,Northern,tat aluf,23467,commander of ugda
4042,Delphinia Bruton,2,Central,aluf mishne,47911,commander of chativa
4043,Annamarie Baudou,1,Central,aluf,79073,commander of pluga
4044,Merwyn Sheldrake,3,Southern,aluf,15670,commander of command
4045,Joscelin Izkovitch,5,Home Front,tat aluf,97858,commander of ugda
4046,Zane Lared,1,Home Front,tat aluf,25023,commander of ugda
4047,Raleigh Castilljo,5,Central,seren,6899,commander of pluga
4048,Kendal Ehrat,4,Central,tat aluf,64399,commander of ugda
4049,Shayna Pietron,4,Southern,sgan aluf,42654,commander of gdud
4050,Buck Betser,1,Central,rav seren,60358,commander of pluga
4051,Sterne Robjohns,3,Northern,seren,2527,commander of pluga
4052,Brian Obal,2,Central,rav seren,20187,commander of pluga
4053,Vevay Lowrey,5,Home Front,rav seren,27274,commander of pluga
4054,Krispin Finn,2,Home Front,aluf mishne,48014,commander of chativa
4055,Christoforo Stirgess,1,Southern,tat aluf,44048,commander of ugda
4056,Beverly Clutheram,3,Home Front,aluf,32820,commander of pluga
4057,Edd Bernat,1,Central,aluf,10824,commander of gdud
4058,Glenn Grunson,3,Southern,tat aluf,25888,commander of ugda
4059,Cyril Skitch,4,Southern,tat aluf,82587,commander of ugda
4060,Durand Zecchii,2,Home Front,aluf mishne,92878,commander of chativa
4061,Barbey Angrave,1,Home Front,aluf,81576,commander of gdud
4062,Merrilee Woodward,1,Southern,tat aluf,59810,commander of ugda
4063,Irwin Baistow,5,Northern,sgan aluf,58428,commander of pluga
4064,Grayce Antic,5,Southern,tat aluf,25452,commander of ugda
4065,Jennifer Zanre,5,Southern,tat aluf,59095,commander of ugda
4066,Jephthah Slaten,4,Southern,tat aluf,29772,commander of ugda
4067,Sal Cowern,5,Northern,rav seren,42531,commander of pluga
4068,Nap Seargeant,3,Central,aluf mishne,27446,commander of chativa
4069,Noni Torri,5,Home Front,sgan aluf,4806,commander of pluga
4070,Tait Guiot,2,Central,sgan aluf,56240,commander of gdud
4071,Susanne Lehrian,2,Southern,tat aluf,84116,commander of ugda
4072,Perla Duck,2,Southern,aluf mishne,13250,commander of chativa
4073,Bryon Collens,5,Southern,tat aluf,84859,commander of ugda
4074,Wade Middlemiss,4,Home Front,aluf,66181,commander of pluga
4075,Ottilie Klain,4,Southern,aluf mishne,57127,commander of chativa
4076,Cosimo MacPhaden,2,Central,seren,3814,commander of pluga
4077,Marquita Brosio,1,Home Front,sgan aluf,7781,commander of gdud
4078,Jaquelin Asey,2,Southern,aluf,90116,commander of pluga
4079,Jeana Trace,1,Home Front,seren,43037,commander of pluga
4080,Donnamarie Aim,4,Southern,aluf mishne,10774,commander of chativa
4081,Johan Luffman,3,Central,aluf mishne,58808,commander of chativa
4082,Hanan Plews,4,Home Front,tat aluf,87818,commander of ugda
4083,Reinald de Courcey,5,Northern,seren,36389,commander of pluga
4084,Cassie Foro,5,Southern,tat aluf,17372,commander of ugda
4085,Ly Maryet,1,Home Front,seren,86369,commander of pluga
4086,Mignonne Squelch,2,Southern,sgan aluf,81359,commander of pluga
4087,Alvie Endecott,4,Central,rav seren,74074,commander of pluga
4088,Kayne Dominique,2,Southern,rav seren,28116,commander of pluga
4089,Jasun Montel,4,Central,rav seren,74946,commander of pluga
4090,Matthaeus Lemanu,2,Southern,aluf,33438,commander of command
4091,Blondy Swede,1,Central,rav seren,31309,commander of pluga
4092,Lesya Orteu,4,Southern,sgan aluf,73842,commander of pluga
4093,Yul Cleft,2,Northern,aluf mishne,51015,commander of chativa
4094,Ingrid Doyle,3,Southern,seren,64149,commander of pluga
4095,Kelli Maghull,5,Northern,aluf,87551,commander of gdud
4096,Locke Vittle,3,Southern,aluf mishne,72908,commander of chativa
4097,Yorke Bernard,3,Northern,rav seren,27566,commander of pluga
4098,Tybalt McGragh,1,Home Front,aluf,62697,commander of pluga
4099,Lem Gosney,2,Northern,sgan aluf,14575,commander of gdud
4100,Lovell Sandham,5,Central,seren,51889,commander of pluga
4101,Alasdair Stitcher,5,Southern,tat aluf,86729,commander of ugda
4102,Melba Menaul,4,Northern,rav seren,6319,commander of pluga
4103,Edy Durtnel,2,Northern,rav seren,29747,commander of pluga
4104,Alyss Kennham,2,Northern,aluf mishne,70229,commander of chativa
4105,Peta Cockland,2,Southern,sgan aluf,47519,commander of pluga
4106,Cad Baggalley,5,Home Front,aluf,17669,commander of pluga
4107,Dunn Rands,5,Northern,sgan aluf,70373,commander of gdud
4108,Concettina O'Kynsillaghe,5,Southern,aluf mishne,98940,commander of chativa
4109,Gerti Semechik,4,Home Front,rav seren,54230,commander of pluga
4110,Fidela Gabriely,4,Southern,aluf,9852,commander of command
4111,Juliet MacGillicuddy,4,Northern,aluf,36131,commander of command
4112,Malanie Otterwell,5,Central,aluf,2000,commander of command
4113,Briny Tixier,1,Home Front,sgan aluf,35490,commander of pluga
4114,Pippy Stopforth,5,Central,rav seren,85212,commander of pluga
4115,Rozella Bedberry,5,Southern,tat aluf,63910,commander of ugda
4116,Tibold Lawly,5,Home Front,tat aluf,64497,commander of ugda
4117,De Alps,4,Central,seren,82035,commander of pluga
4118,Jabez Ashburner,2,Northern,aluf mishne,85862,commander of chativa
4119,Bird Clay,2,Home Front,seren,58778,commander of pluga
4120,Orsa Chuter,1,Central,seren,24579,commander of pluga
4121,Dorine Station,1,Northern,aluf mishne,20928,commander of chativa
4122,Boycey Rebichon,5,Northern,aluf,13047,commander of gdud
4123,Clem Josef,2,Central,seren,68562,commander of pluga
4124,Der Kembrey,4,Southern,seren,43480,commander of pluga
4125,Douglass Wilmot,4,Northern,sgan aluf,36200,commander of pluga
4126,Roley Radband,1,Northern,sgan aluf,48484,commander of gdud
4127,Montgomery Treske,3,Northern,seren,55803,commander of pluga
4128,Jonathan Hewes,4,Central,aluf mishne,16488,commander of chativa
4129,Friedrick Hillhouse,5,Southern,tat aluf,28319,commander of ugda
4130,Ellery Cottesford,2,Southern,sgan aluf,89799,commander of pluga
4131,Sherill Frede,3,Central,seren,71777,commander of pluga
4132,Thedrick Drinkel,1,Southern,aluf,11788,commander of command
4133,Brand Rosin,5,Northern,seren,89511,commander of pluga
4134,Donnajean Akester,5,Southern,aluf mishne,49874,commander of chativa
4135,Randi Dulinty,2,Home Front,seren,12006,commander of pluga
4136,Coletta Pierson,2,Southern,tat aluf,87465,commander of ugda
4137,Humbert Darinton,2,Central,rav seren,69233,commander of pluga
4138,Wynny Tomaello,4,Southern,aluf,77243,commander of pluga
4139,Maddy Campagne,1,Northern,rav seren,87425,commander of pluga
4140,Felipe Mayler,1,Southern,seren,27899,commander of pluga
4141,Aggie Logue,3,Southern,tat aluf,80090,commander of ugda
4142,Brendan Swatland,4,Southern,rav seren,24501,commander of pluga
4143,Cobby Penwell,3,Northern,rav seren,92830,commander of pluga
4144,Ruthy Josef,3,Northern,aluf,73969,commander of pluga
4145,Alice Kennefick,5,Central,tat aluf,2177,commander of ugda
4146,Trenton Payler,1,Central,tat aluf,91896,commander of ugda
4147,Pris Mor,4,Home Front,aluf mishne,3075,commander of chativa
4148,Concettina Govier,5,Home Front,aluf mishne,53805,commander of chativa
4149,Trina Timpany,4,Home Front,aluf mishne,4227,commander of chativa
4150,Ellen Gresley,1,Central,rav seren,14718,commander of pluga
4151,Scotty Folbige,4,Northern,sgan aluf,61450,commander of pluga
4152,Garik Jacquest,4,Central,tat aluf,82307,commander of ugda
4153,Lizzy Renard,5,Home Front,sgan aluf,86395,commander of gdud
4154,Barn MacMenamy,1,Northern,aluf mishne,28173,commander of chativa
4155,Donia Norkutt,3,Southern,seren,67998,commander of pluga
4156,Mario Fowley,1,Northern,rav seren,63517,commander of pluga
4157,Pacorro Healey,5,Central,sgan aluf,8923,commander of gdud
4158,Isis Measures,1,Northern,rav seren,55444,commander of pluga
4159,Rosaline Hairs,1,Central,aluf mishne,48644,commander of chativa
4160,Sheelagh MacQuist,1,Southern,rav seren,93033,commander of pluga
4161,Heidie Lecordier,3,Northern,sgan aluf,40664,commander of gdud
4162,Spencer Casillas,3,Northern,tat aluf,20444,commander of ugda
4163,Conni Ferbrache,1,Southern,rav seren,1610,commander of pluga
4164,Enrico Dalgleish,5,Home Front,aluf,71200,commander of pluga
4165,Penelopa Hatley,5,Northern,aluf,62986,commander of command
4166,Ynes Genese,2,Home Front,seren,15003,commander of pluga
4167,Leroy Bulteel,4,Home Front,aluf,61658,commander of command
4168,Julee Pydcock,2,Central,sgan aluf,17320,commander of pluga
4169,Rodger Elgram,1,Home Front,tat aluf,77387,commander of ugda
4170,Ambur O'Geneay,4,Home Front,aluf,53488,commander of gdud
4171,Kurtis Prine,2,Home Front,aluf,21062,commander of gdud
4172,Neely Gapper,1,Home Front,sgan aluf,85725,commander of gdud
4173,Dalston Scollan,2,Central,tat aluf,23239,commander of ugda
4174,Jere Golsthorp,2,Northern,seren,21120,commander of pluga
4175,Bucky Pasmore,5,Central,aluf,57981,commander of pluga
4176,Wittie Gaither,2,Home Front,rav seren,34937,commander of pluga
4177,Daniel Ivashintsov,5,Northern,aluf,58034,commander of gdud
4178,Krissie Dinnis,3,Northern,rav seren,47146,commander of pluga
4179,Natasha Monroe,3,Central,rav seren,72899,commander of pluga
4180,Nealson Sertin,3,Home Front,rav seren,11244,commander of pluga
4181,Elnore Bather,3,Northern,sgan aluf,40943,commander of gdud
4182,Neill McCreedy,4,Home Front,aluf,76286,commander of gdud
